method,step,success,ci95_halfwidth,num_rollouts,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
Terminal only (coef=5),40,0.610,0.055,300,0.400,0.067,0.967,0.867,0.833,0.067,0.833,0.600,0.867,0.700
Terminal only (coef=5),80,0.607,0.055,300,0.333,0.067,1.000,0.933,0.833,0.067,0.733,0.600,0.733,0.767
Terminal only (coef=5),110,0.613,0.055,300,0.367,0.033,0.900,0.867,0.867,0.033,0.800,0.700,0.767,0.800
Terminal only (coef=5),170,0.617,0.055,300,0.533,0.067,0.900,0.867,0.733,0.033,0.867,0.667,0.800,0.700
Dense 0.05/0.05 + terminal 5,40,0.623,0.055,300,0.433,0.100,0.933,0.833,0.900,0.033,0.867,0.700,0.800,0.633
Dense 0.05/0.05 + terminal 5,80,0.630,0.055,300,0.433,0.133,1.000,0.833,0.800,0.067,0.800,0.667,0.800,0.767
Dense 0.05/0.05 + terminal 5,110,0.637,0.054,300,0.433,0.100,0.933,0.900,0.833,0.033,0.867,0.667,0.800,0.800
Dense 0.05/0.05 + terminal 5,160,0.653,0.054,300,0.600,0.100,0.933,0.900,0.900,0.067,0.833,0.767,0.800,0.633
Dense clipped + terminal 5,30,0.627,0.055,300,0.533,0.067,0.900,0.833,0.900,0.133,0.800,0.567,0.767,0.767
Dense clipped + terminal 5,50,0.647,0.054,300,0.633,0.133,0.967,0.867,0.800,0.067,0.900,0.600,0.867,0.633
Dense 0.05/0.05 + terminal 1,60,0.597,0.056,300,0.400,0.100,0.933,0.867,0.833,0.000,0.800,0.567,0.767,0.700
Dense 0.05/0.05 + terminal 1,110,0.610,0.055,300,0.500,0.067,0.900,0.867,0.800,0.000,0.867,0.633,0.767,0.700
Phase 0.2 + terminal 1,30,0.580,0.056,300,0.367,0.067,0.900,0.867,0.800,0.033,0.800,0.600,0.767,0.600
Phase 0.2 + terminal 1,60,0.600,0.055,300,0.500,0.033,0.933,0.833,0.800,0.067,0.833,0.600,0.767,0.633
Phase 0.2 + terminal 1,90,0.637,0.054,300,0.567,0.067,0.967,0.833,0.833,0.100,0.833,0.667,0.800,0.700
Phase 0.2 + terminal 1,110,0.623,0.055,300,0.667,0.067,0.967,0.900,0.867,0.067,0.767,0.533,0.833,0.567
